feature,importance
num__jour,0.5151470546236708
num__latitude,0.17183633952880628
num__critere_rang,0.11728934538667217
cat__secteur_Avicole,0.08542951465502051
cat__filiale_Nutrimix sfax,0.023886829598501625
cat__utilisateur_oumaima masmoudi,0.01630402940562469
cat__filiale_couvoir cedria,0.01385443011457533
cat__utilisateur_najla sassi,0.011255720756738844
cat__filiale_couvoir ennajeh,0.010750317265923218
num__longitude,0.008282055614542939
num__ponderation_num,0.008271410510864757
cat__utilisateur_ahmed taha,0.004009284807056716
cat__filiale_Gipa,0.0025796762951607786
cat__utilisateur_iyed ben salem,0.00257919246644664
cat__filiale_Agromed,0.0021962509861373452
