modele,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
gradient_boosting_classifier,0.4476744186046512,0.17966903651584235,0.5062070768013616,0.022236330407876825,0.5647837687161517,0.32825977036496734,0.7133611232996928,0.4044186281219216,0.40467406130880823,0.3142170637645679,0.5543344029393602,0.19133632874536424
random_forest_classifier,0.563953488372093,0.01744186046511631,0.5613789912064923,0.0213751159608709,0.6468366863103705,0.34965613208647933,0.39441202281702503,0.21919663509982393,0.3580400289079691,0.19991331149822084,0.6478352489055271,0.1009465454877095
logistic_regression,0.5668604651162791,0.24159407847893202,0.4268867924528302,0.1266357901760264,0.24534883720930234,0.2535923618574273,0.35377358490566035,0.4097805245734437,0.2856753812636166,0.308300397833161,0.555000416904898,0.3285970381431883
baseline_dummy,0.3430232558139535,0.16330897564172253,0.5,0.0,0.01744186046511628,0.030210188504108323,0.25,0.4330127018922193,0.03260869565217391,0.05647991763811556,0.5,0.0
