modele,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
svc_rbf,0.7454545454545455,0.7454545454545455,0.8002034197686372,0.6818181818181818,0.7214605657816563,0.7821797520661157
gradient_boosting,0.7,0.7,0.7198159978159978,0.6727272727272727,0.6868522571299517,0.8365185950413224
logistic_regression,0.6886363636363636,0.6886363636363637,0.7165699548678273,0.6409090909090909,0.6695637695637696,0.7804235537190084
random_forest,0.6704545454545454,0.6704545454545454,0.7031356789107548,0.6181818181818182,0.6457102684852394,0.8206095041322314
